Index,SST OBS,H+ OBS,NPP OBS,Oxygen OBS
0,0.402956134,8.36E-10,0.903154602,0
1,0.367575666,1.45E-09,-1.996971679,0
2,0.861776415,1.34E-09,-1.061969617,0
3,0.18635368,1.48E-09,0.429386268,0
4,0.940093917,1.13E-09,1.436942373,-181.9378074
5,1.480922297,1.08E-09,1.073541071,0
6,1.045825674,8.47E-10,0.494446644,-17.31128573
7,0.817117031,1.45E-09,0.693546564,0
8,0.24570471,1.28E-09,0.144746186,0
9,-0.093306413,1.31E-09,-0.164284219,0
10,0.288720182,1.50E-09,-0.003180543,0
11,0.33793717,1.29E-09,-0.173129478,-169.5877345
12,0.265021066,1.22E-09,0.749112542,88.50267654
13,0.076475221,1.35E-09,0.160932734,-280.7944506
14,0.722426419,1.21E-09,-0.290324413,0
15,1.039716937,1.25E-09,0.195795793,-365.1992367
16,0.997756635,1.31E-09,-0.260729067,0
17,1.054760486,1.45E-09,3.402087566,0
18,0.69997777,1.38E-09,-0.01693665,0
19,0.799479904,1.54E-09,-0.117180656,0
20,1.125306748,1.79E-09,0,0
21,0.577365002,1.14E-09,-0.02119031,0
22,1.431626914,8.86E-10,-0.939111269,-35.82108122
23,0.995524562,1.25E-09,1.333859896,-256.1518465
24,0.75206292,1.28E-09,-0.036872679,-163.6508471
25,0.860867749,1.34E-09,-0.227168397,3.465570272
26,0.712628905,1.35E-09,-1.79466878,135.3748392
27,0.710869672,1.32E-09,-0.932835235,0
28,0.736176562,1.34E-09,-1.52541899,0
29,0.741404739,1.53E-09,-0.844800624,100.7961681
30,0.140755009,1.25E-09,-0.585763248,0
31,0.606416514,1.35E-09,-0.191840925,69.23307675
32,0.414605861,1.26E-09,0.439635732,78.14019123
33,0.967752724,1.29E-09,0.240043966,120.7280731
34,1.484794732,1.35E-09,0.629289743,11.26793987
35,1.59152821,1.33E-09,0.184700109,78.14687123
36,0.651378205,1.30E-09,-0.016496394,-68.47698329
37,0.603109481,1.29E-09,-0.028520153,-71.38368281
38,0.19108299,1.25E-09,-0.186295508,0
39,0.085437771,1.20E-09,-0.08578494,-78.42751965
40,0.034429457,1.08E-09,-0.101406537,111.2743357
41,0.301233716,8.48E-10,1.132264216,0
42,0.619035427,1.49E-09,0.820307248,392.0238922
43,0.913779556,1.02E-09,0.51814359,0
44,-0.137210458,1.42E-09,-0.038228048,207.673732
